start result analysis from detection_results.pkl
python/lib/python2.7/site-packages/matplotlib/backends/
svg
svg
matplotlib.backends.backend_svg

    Compute the ratio of prediect correct V.S. class error V.S. localization error V.S. BG
    for different category objects' in multi scale
    
IoU threshold is between 0.1 and 0.5
Score threshold is 0.01
ClassName       	Detection Number	Correct                                         	Class error                                     	Localization error                              	BG trap                                         
                	                	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           
================= unsorted =================
person          	         32848.0	   0.09145153434	  0.102867754506	   0.11580613736	  0.010411592791	0.00870677057964	0.00648441305407	  0.218247686313	  0.132732586459	  0.107860448125	  0.130692888456	 0.0476436921578	 0.0270944958597
bicycle         	           989.0	 0.0556117290192	  0.123356926188	 0.0819009100101	 0.0333670374115	  0.041456016178	 0.0131445904954	   0.14459049545	  0.216380182002	  0.157735085945	  0.046511627907	 0.0525783619818	 0.0333670374115
car             	          6262.0	  0.153944426701	 0.0827211753433	 0.0343340785691	 0.0253912488023	 0.0182050463111	0.00798466943469	  0.262695624401	 0.0967741935484	 0.0431172149473	  0.200255509422	 0.0563717662089	 0.0182050463111
motorcycle      	          1079.0	 0.0305838739574	  0.106580166821	  0.164040778499	 0.0222428174235	 0.0194624652456	 0.0166821130677	 0.0546802594995	  0.253012048193	  0.237256719184	 0.0120481927711	 0.0333642261353	  0.050046339203
airplane        	           335.0	 0.0268656716418	  0.110447761194	  0.268656716418	0.00298507462687	0.00298507462687	0.00298507462687	 0.0537313432836	  0.116417910448	  0.286567164179	 0.0507462686567	 0.0298507462687	 0.0477611940299
bus             	           483.0	 0.0372670807453	  0.159420289855	  0.345755693582	 0.0165631469979	 0.0227743271222	 0.0269151138716	 0.0455486542443	  0.107660455487	  0.124223602484	 0.0124223602484	  0.055900621118	 0.0455486542443
train           	           415.0	             0.0	 0.0385542168675	  0.397590361446	             0.0	0.00240963855422	 0.0120481927711	0.00722891566265	  0.106024096386	  0.236144578313	 0.0481927710843	 0.0674698795181	 0.0843373493976
truck           	          1175.0	 0.0723404255319	  0.115744680851	   0.11914893617	 0.0553191489362	  0.056170212766	 0.0365957446809	 0.0663829787234	  0.108936170213	  0.096170212766	 0.0953191489362	  0.128510638298	 0.0493617021277
boat            	          1968.0	 0.0680894308943	 0.0569105691057	  0.047256097561	0.00711382113821	0.00762195121951	0.00660569105691	  0.183943089431	  0.208333333333	 0.0985772357724	  0.132113821138	  0.128556910569	 0.0548780487805
traffic light   	          1903.0	  0.201261166579	  0.050972149238	0.00788229111929	  0.022070415134	0.000525486074619	0.000525486074619	  0.242249080399	 0.0388859695218	 0.0147136100893	  0.362585391487	 0.0467682606411	 0.0115606936416
fire hydrant    	           126.0	  0.150793650794	  0.174603174603	  0.420634920635	             0.0	             0.0	             0.0	 0.0396825396825	  0.015873015873	  0.126984126984	 0.0396825396825	             0.0	  0.031746031746
stop sign       	            87.0	  0.183908045977	  0.172413793103	  0.367816091954	 0.0114942528736	             0.0	             0.0	 0.0574712643678	 0.0114942528736	 0.0229885057471	 0.0459770114943	 0.0804597701149	 0.0459770114943
parking meter   	           110.0	 0.0818181818182	  0.127272727273	  0.218181818182	             0.0	             0.0	             0.0	 0.0818181818182	  0.154545454545	  0.190909090909	 0.0818181818182	 0.0272727272727	 0.0363636363636
bench           	          1619.0	  0.035824583076	 0.0580605311921	 0.0784434836319	  0.046942557134	 0.0438542310068	 0.0259419394688	 0.0957381099444	  0.179740580605	  0.176034589253	 0.0802964793082	  0.119827053737	  0.059295861643
bird            	          1062.0	   0.14406779661	 0.0866290018832	 0.0715630885122	 0.0075329566855	0.00188323917137	             0.0	  0.361581920904	 0.0819209039548	 0.0659133709981	  0.124293785311	 0.0310734463277	 0.0235404896422
cat             	           323.0	 0.0030959752322	  0.046439628483	  0.554179566563	             0.0	 0.0030959752322	0.00928792569659	0.00928792569659	 0.0185758513932	  0.303405572755	             0.0	  0.015479876161	 0.0371517027864
dog             	           335.0	 0.0149253731343	  0.125373134328	  0.462686567164	             0.0	 0.0179104477612	 0.0119402985075	 0.0208955223881	  0.044776119403	  0.253731343284	0.00298507462687	 0.0208955223881	 0.0238805970149
horse           	           593.0	 0.0472175379427	  0.128161888702	  0.242833052277	0.00505902192243	 0.0202360876897	0.00674536256324	  0.070826306914	  0.193929173693	  0.175379426644	 0.0337268128162	 0.0505902192243	 0.0252951096121
sheep           	          1172.0	 0.0631399317406	  0.105802047782	  0.115187713311	 0.0042662116041	 0.0136518771331	 0.0162116040956	  0.147610921502	  0.174914675768	  0.153583617747	  0.106655290102	 0.0648464163823	 0.0341296928328
cow             	           918.0	  0.128540305011	  0.113289760349	  0.136165577342	0.00217864923747	0.00217864923747	0.00435729847495	  0.226579520697	  0.155773420479	  0.116557734205	 0.0642701525054	 0.0239651416122	 0.0261437908497
