start result analysis from detection_results.pkl

    Compute the ratio of prediect correct V.S. class error V.S. localization error V.S. BG
    for different category objects' in multi scale
    
IoU threshold is between 0.1 and 0.5
Score threshold is 0.5
ClassName       	Detection Number	Correct                                         	Class error                                     	Localization error                              	BG trap                                         
                	                	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           
person          	         13601.0	  0.218954488641	  0.289316961988	   0.27328872877	0.00272038820675	 0.0018381001397	0.00220572016763	  0.036394382766	 0.0416881111683	 0.0408793471068	 0.0493346077494	 0.0291155062128	  0.014263657084
bicycle         	           327.0	 0.0948012232416	  0.305810397554	  0.241590214067	 0.0183486238532	 0.0336391437309	0.00611620795107	 0.0733944954128	 0.0795107033639	 0.0948012232416	 0.0214067278287	 0.0152905198777	 0.0152905198777
car             	          2227.0	  0.338123035474	  0.204759766502	 0.0754378087113	 0.0188594521778	 0.0175123484508	0.00673551863493	 0.0911540188595	 0.0660080826224	 0.0278401436911	 0.0844185002245	 0.0525370453525	 0.0166142792995
motorcycle      	           403.0	 0.0471464019851	  0.275434243176	  0.414392059553	  0.014888337469	 0.0198511166253	0.00992555831266	0.00496277915633	 0.0595533498759	   0.12158808933	0.00496277915633	0.00496277915633	 0.0223325062035
airplane        	           170.0	 0.0529411764706	  0.194117647059	  0.482352941176	0.00588235294118	             0.0	             0.0	 0.0176470588235	 0.0647058823529	  0.158823529412	 0.0117647058824	             0.0	 0.0117647058824
bus             	           282.0	 0.0248226950355	  0.212765957447	  0.510638297872	0.00709219858156	0.00709219858156	 0.0248226950355	 0.0106382978723	 0.0460992907801	 0.0815602836879	0.00354609929078	 0.0390070921986	  0.031914893617
train           	           206.0	             0.0	 0.0533980582524	  0.703883495146	             0.0	             0.0	0.00485436893204	             0.0	 0.0533980582524	  0.135922330097	0.00970873786408	 0.0194174757282	 0.0194174757282
truck           	           370.0	 0.0567567567568	  0.205405405405	  0.278378378378	 0.0162162162162	 0.0297297297297	 0.0243243243243	 0.0378378378378	  0.108108108108	 0.0513513513514	 0.0324324324324	  0.110810810811	 0.0486486486486
boat            	           534.0	  0.168539325843	  0.202247191011	  0.159176029963	 0.0112359550562	0.00936329588015	0.00374531835206	 0.0861423220974	  0.101123595506	 0.0805243445693	 0.0767790262172	  0.059925093633	 0.0411985018727
traffic light   	           685.0	  0.436496350365	  0.132846715328	 0.0204379562044	 0.0131386861314	             0.0	             0.0	  0.137226277372	 0.0189781021898	 0.0102189781022	  0.179562043796	 0.0467153284672	 0.0043795620438
fire hydrant    	            95.0	  0.157894736842	  0.210526315789	  0.515789473684	             0.0	             0.0	             0.0	 0.0105263157895	 0.0210526315789	 0.0526315789474	 0.0105263157895	             0.0	 0.0210526315789
stop sign       	            62.0	  0.177419354839	  0.241935483871	  0.516129032258	             0.0	             0.0	             0.0	 0.0161290322581	             0.0	             0.0	             0.0	 0.0483870967742	             0.0
parking meter   	            52.0	 0.0961538461538	  0.192307692308	  0.326923076923	             0.0	             0.0	             0.0	 0.0384615384615	  0.134615384615	 0.0769230769231	 0.0769230769231	             0.0	 0.0576923076923
bench           	           346.0	 0.0693641618497	  0.153179190751	  0.274566473988	 0.0028901734104	 0.0173410404624	 0.0260115606936	 0.0317919075145	 0.0953757225434	  0.161849710983	 0.0404624277457	 0.0809248554913	 0.0462427745665
bird            	           538.0	  0.507434944238	  0.217472118959	  0.139405204461	             0.0	             0.0	             0.0	 0.0260223048327	 0.0204460966543	 0.0092936802974	  0.042750929368	 0.0130111524164	 0.0241635687732
cat             	           210.0	             0.0	 0.0619047619048	   0.77619047619	             0.0	             0.0	0.00952380952381	 0.0047619047619	 0.0047619047619	  0.114285714286	             0.0	             0.0	 0.0285714285714
dog             	           206.0	 0.0194174757282	  0.194174757282	  0.631067961165	             0.0	0.00970873786408	             0.0	0.00970873786408	 0.0145631067961	  0.111650485437	             0.0	             0.0	0.00970873786408
horse           	           272.0	 0.0588235294118	  0.216911764706	  0.518382352941	0.00367647058824	 0.0147058823529	             0.0	0.00735294117647	 0.0735294117647	 0.0661764705882	0.00367647058824	 0.0330882352941	0.00367647058824
sheep           	           447.0	  0.127516778523	  0.281879194631	  0.266219239374	             0.0	 0.0089485458613	 0.0089485458613	 0.0223713646532	 0.0693512304251	 0.0581655480984	 0.0984340044743	 0.0425055928412	 0.0156599552573
